date, pm25, pm10, o3, no2, so2, co
2023/8/17, 91, 42, , 26, 1, 9
2023/8/18, 90, 52, , 25, , 9
2023/8/19, 97, 32, , 18, 1, 4
2023/8/20, 60, 33, , 17, , 6
2023/8/21, 75, 32, , 22, 1, 6
2023/8/22, 80, 61, , 31, 1, 11
2023/8/23, 112, 57, , 29, 1, 9
2023/8/24, 104, 58, , 31, 1, 10
2023/8/25, 121, 15, , 17, , 6
2023/8/26, 42, 7, , 13, , 4
2023/8/27, 14, 9, , 13, , 3
2023/8/28, 29, 13, , 19, , 6
2023/8/29, 40, 21, , 22, , 7
2023/8/30, 63, 27, , 19, 1, 6
2023/8/31, 64, 26, , 22, , 7
2023/9/1, 59, 45, , 30, 1, 10
2023/9/2, 98, 38, , 19, , 9
2023/9/3, 91, 13, , 12, , 4
2023/9/4, 43, 31, , 20, , 6
2023/9/5, 66, 20, , 18, , 5
2023/9/6, 47, 11, , 18, , 5
2023/9/7, 32, 15, , 14, , 4
2023/9/8, 37, 33, , 20, , 8
2023/9/9, 72, 36, , 21, , 7
2023/9/10, 75, 24, , 17, , 6
2023/9/11, 77, 30, , 28, , 7
2023/9/12, 73, 47, , 29, 1, 8
2023/9/13, 92, 63, , 31, 1, 9
2023/9/14, 112, 34, , 22, , 5
2023/9/15, 64, 18, , 21, , 5
2023/9/16, 45, 31, , 23, , 7
2023/9/17, 70, 41, , 21, , 10
2023/9/18, 91, 41, , 26, , 8
2023/9/19, 97, 42, , 35, 1, 8
2023/9/20, 85, 29, , 22, , 5
2023/9/21, 68, 38, , 23, , 6
2023/9/22, 91, 41, , 23, , 7
2023/9/23, 91, 36, , 28, , 8
2023/9/24, 73, 44, , 20, 1, 9
2023/9/25, 106, 28, , 19, , 5
2023/9/26, 71, 37, , 27, , 8
2023/9/27, 71, 53, , 29, 1, 8
2023/9/28, 108, 12, , 15, , 4
2023/9/29, 31, 21, , 19, 1, 5
2023/9/30, 58, 33, , 20, , 6
2023/10/1, 77, 11, , 17, , 6
2023/4/2, 64, 14, , 11, , 3
2023/4/3, 39, 30, , 24, 1, 5
2023/4/4, 61, 31, , 21, , 5
2023/4/5, 68, 28, , 22, 3, 6
2023/4/6, 72, 28, , 21, , 6
2023/4/7, 58, 15, , 13, , 3
2023/4/8, 41, 11, , 15, , 4
2023/4/9, 32, 12, , 12, , 3
2023/4/10, 38, 16, , 18, , 5
2023/4/11, 43, 25, , 22, , 5
2023/4/12, 62, 30, , 25, 1, 6
2023/4/13, 71, 25, , 26, , 6
2023/4/14, 58, 26, , 25, 1, 6
2023/4/15, 62, 12, , 16, , 4
2023/4/16, 29, 14, , 16, , 4
2023/4/17, 40, 25, , 18, , 5
2023/4/18, 68, 26, , 19, , 5
2023/4/19, 54, , , , , 
2023/6/24, 122, 48, , , , 8
2023/6/25, 106, 56, , , 1, 10
2023/6/26, 130, 56, , 31, 3, 9
2023/6/27, 128, 55, , 27, 1, 8
2023/6/28, 105, 48, , 25, 1, 7
2023/6/29, 98, 38, , 20, , 4
2023/6/30, 87, 23, , 24, , 7
2023/7/1, 59, 22, , 19, , 3
2023/1/3, 46, 17, , 14, 1, 3
2023/1/4, 37, 15, , 14, 1, 4
2023/1/5, 31, 10, , 15, , 4
2023/1/6, 25, 16, , 16, , 5
2023/1/7, 41, 18, , 11, 1, 4
2023/1/8, 39, 12, , 9, , 3
2023/1/9, 29, 13, , 14, , 5
2023/1/10, 47, 22, , 18, 1, 7
2023/1/11, 52, 21, , 17, , 6
2023/1/12, 53, 18, , 19, , 4
2023/1/13, 48, 18, , 16, , 4
2023/1/14, 50, 13, , 14, 1, 4
2023/1/15, 36, 18, , 12, , 5
2023/1/16, 48, 21, , 19, 6, 4
2023/1/17, 48, 22, , 18, , 6
2023/1/18, 87, 24, , 16, , 5
2023/1/19, 61, 20, , 18, , 5
2023/1/20, 55, 22, , 24, , 7
2023/1/21, 55, 23, , 19, , 6
2023/1/22, 51, 17, , 10, , 3
2023/1/23, 50, 25, , 22, , 6
2023/1/24, 53, 22, , 19, , 5
2023/1/25, 58, 23, , 24, 1, 6
2023/1/26, 62, 33, , 23, 1, 6
2023/1/27, 82, 28, , 24, 1, 6
2023/1/28, 68, 23, , 20, , 5
2023/1/29, 51, 14, , 13, , 4
2023/1/30, 39, 18, , 14, 1, 3
2023/1/31, 40, , , , , 
2023/2/4, 39, 14, , 11, , 3
2023/2/5, 31, 14, , 10, , 3
2023/2/6, 33, 20, , 21, , 6
2023/2/7, 49, 27, , 27, , 7
2023/2/8, 63, 21, , 23, , 6
2023/2/9, 52, 33, , 24, 1, 6
2023/2/10, 65, 24, , 24, , 
2023/2/11, 56, 20, , 23, , 7
2023/2/12, 49, 12, , 13, , 4
2023/2/13, 33, 15, , 17, , 4
2023/2/14, 39, 19, , 18, , 4
2023/2/15, 51, 20, , 18, , 5
2023/2/16, 46, 18, , 16, , 4
2023/2/17, 44, 15, , 18, , 4
2023/2/18, 41, 17, , 18, , 5
2023/2/19, 38, , , , , 
2023/2/23, 53, 26, , 27, , 7
2023/2/24, 64, 27, , 36, , 6
2023/2/25, 62, 24, , 11, 6, 4
2023/2/26, 54, , , , , 
2023/3/3, 66, 14, , 29, , 4
2023/3/4, 63, , , , , 
2023/3/6, 29, 17, , 18, , 4
2023/3/7, 37, 20, , 20, , 5
2023/3/8, 45, 24, , 22, , 5
2023/3/9, 42, 33, , 29, 1, 8
2023/3/10, 64, 26, , 32, 1, 8
2023/3/11, 65, 18, , 23, , 6
2023/3/12, 47, 22, , 18, , 5
2023/3/13, 33, 20, , 23, , 7
2023/3/14, 51, 26, , 26, , 8
2023/3/15, 63, 20, , 20, 1, 6
2023/3/16, 62, 21, , 20, 1, 5
2023/3/17, 61, 24, , 21, , 5
2023/3/18, 57, 21, , 19, , 4
2023/3/19, 58, 18, , 16, , 4
2023/3/20, 59, 27, , 23, , 6
2023/3/21, 76, 31, , 26, , 6
2023/3/22, 66, 23, , 23, , 5
2023/3/23, 63, 23, , 24, , 5
2023/3/24, 58, 37, , 20, , 5
2023/3/25, 79, 22, , 18, , 5
2023/3/26, 54, 32, , 16, , 5
2023/3/27, 78, 14, , 13, , 4
2023/3/28, 35, 27, , 20, , 6
2023/3/29, 61, 26, , 21, 1, 6
2023/3/30, 54, 31, , 25, , 6
2023/3/31, 65, 37, , 29, , 7
2023/4/1, 70, 27, , 21, , 6
2022/10/2, 58, 10, , 14, , 4
2022/10/3, 33, 19, , 21, 1, 5
2022/10/4, 56, 20, , 22, 1, 6
2022/10/5, 56, 27, , 27, 1, 6
2022/10/6, 69, 34, , 22, 1, 5
2022/10/7, 62, 17, , 20, 1, 4
2022/10/8, 42, 37, , 28, 2, 8
2022/10/9, 77, 35, , 23, 1, 7
2022/10/10, 74, 19, , 24, , 7
2022/10/11, 54, 44, , 42, 1, 13
2022/10/12, 92, 15, , 18, 1, 5
2022/10/13, 48, 25, , 29, 2, 6
2022/10/14, 63, 19, , 21, 2, 5
2022/10/15, 52, 16, , 17, , 5
2022/10/16, 38, 18, , 14, , 4
2022/10/17, 47, 17, , 21, , 5
2022/10/18, 55, 17, , 20, , 6
2022/10/19, 48, 32, , 26, , 9
2022/10/20, 65, 32, , 27, , 7
2022/10/21, 73, 22, , 24, 1, 5
2022/10/22, 53, 14, , 14, , 4
